 sales ,date,region
" $1,800.00 ",06/03/2018,west
" $1,581.00 ",07/03/2018,north
" $1,602.00 ",07/03/2018,south
" $1,608.00 ",07/03/2018,east
" $1,650.00 ",07/03/2018,west
" $1,611.00 ",08/03/2018,north
" $1,530.00 ",08/03/2018,south
" $1,698.00 ",08/03/2018,east
" $1,668.00 ",08/03/2018,west
" $1,746.00 ",09/03/2018,north
" $1,524.00 ",09/03/2018,south
" $1,506.00 ",09/03/2018,east
" $1,704.00 ",09/03/2018,west
" $1,788.00 ",10/03/2018,north
" $1,719.00 ",10/03/2018,south
" $1,746.00 ",10/03/2018,east
" $1,584.00 ",10/03/2018,west
" $1,692.00 ",11/03/2018,north
" $1,635.00 ",11/03/2018,south
" $1,608.00 ",11/03/2018,east
" $1,590.00 ",11/03/2018,west
" $1,599.00 ",12/03/2018,north
" $1,518.00 ",12/03/2018,south
" $1,602.00 ",12/03/2018,east
" $1,659.00 ",12/03/2018,west
" $1,644.00 ",13/03/2018,north
" $1,611.00 ",13/03/2018,south
" $1,554.00 ",13/03/2018,east
" $1,515.00 ",13/03/2018,west
" $1,515.00 ",14/03/2018,north
" $1,632.00 ",14/03/2018,south
" $1,512.00 ",14/03/2018,east
" $1,776.00 ",14/03/2018,west
" $1,677.00 ",15/03/2018,north
" $1,503.00 ",15/03/2018,south
" $1,605.00 ",15/03/2018,east
" $1,647.00 ",15/03/2018,west
" $1,506.00 ",16/03/2018,north
" $1,737.00 ",16/03/2018,south
" $1,590.00 ",16/03/2018,east
" $1,767.00 ",16/03/2018,west
" $1,593.00 ",17/03/2018,north
" $1,614.00 ",17/03/2018,south
" $1,710.00 ",17/03/2018,east
" $1,662.00 ",17/03/2018,west
" $1,650.00 ",18/03/2018,north
" $1,755.00 ",18/03/2018,south
" $1,698.00 ",18/03/2018,east
" $1,659.00 ",18/03/2018,west
" $1,683.00 ",19/03/2018,north
" $1,509.00 ",19/03/2018,south
" $1,500.00 ",19/03/2018,east
" $1,545.00 ",19/03/2018,west
" $1,647.00 ",20/03/2018,north
" $1,614.00 ",20/03/2018,south
" $1,629.00 ",20/03/2018,east
" $1,677.00 ",20/03/2018,west
" $1,743.00 ",21/03/2018,north
" $1,569.00 ",21/03/2018,south
" $1,593.00 ",21/03/2018,east
" $1,578.00 ",21/03/2018,west
" $1,578.00 ",22/03/2018,north
" $1,581.00 ",22/03/2018,south
" $1,653.00 ",22/03/2018,east
" $1,578.00 ",22/03/2018,west
" $1,761.00 ",23/03/2018,north
" $1,611.00 ",23/03/2018,south
" $1,749.00 ",23/03/2018,east
" $1,764.00 ",23/03/2018,west
" $1,716.00 ",24/03/2018,north
" $1,710.00 ",24/03/2018,south
" $1,800.00 ",24/03/2018,east
" $1,728.00 ",24/03/2018,west
" $1,743.00 ",25/03/2018,north
" $1,764.00 ",25/03/2018,south
" $1,740.00 ",25/03/2018,east
" $1,707.00 ",25/03/2018,west
" $1,509.00 ",26/03/2018,north
" $1,641.00 ",26/03/2018,south
" $1,533.00 ",26/03/2018,east
" $1,752.00 ",26/03/2018,west
" $1,767.00 ",27/03/2018,north
" $1,590.00 ",27/03/2018,south
" $1,533.00 ",27/03/2018,east
" $1,704.00 ",27/03/2018,west
" $1,671.00 ",28/03/2018,north
" $1,527.00 ",28/03/2018,south
" $1,524.00 ",28/03/2018,east
" $1,629.00 ",28/03/2018,west
" $1,722.00 ",29/03/2018,north
" $1,557.00 ",29/03/2018,south
" $1,686.00 ",29/03/2018,east
" $1,779.00 ",29/03/2018,west
" $1,734.00 ",30/03/2018,north
" $1,776.00 ",30/03/2018,south
" $1,554.00 ",30/03/2018,east
" $1,725.00 ",30/03/2018,west
" $1,617.00 ",31/03/2018,north
" $1,635.00 ",31/03/2018,south
" $1,605.00 ",31/03/2018,east
" $1,785.00 ",31/03/2018,west
" $1,761.00 ",01/04/2018,north
" $1,530.00 ",01/04/2018,south
" $1,710.00 ",01/04/2018,east
" $1,506.00 ",01/04/2018,west
" $1,509.00 ",02/04/2018,north
" $1,797.00 ",02/04/2018,south
" $1,662.00 ",02/04/2018,east
" $1,530.00 ",02/04/2018,west
" $1,767.00 ",03/04/2018,north
" $1,767.00 ",03/04/2018,south
" $1,614.00 ",03/04/2018,east
" $1,533.00 ",03/04/2018,west
" $1,767.00 ",04/04/2018,north
" $1,761.00 ",04/04/2018,south
" $1,566.00 ",04/04/2018,east
" $1,623.00 ",04/04/2018,west
" $1,506.00 ",05/04/2018,north
" $1,512.00 ",05/04/2018,south
" $1,692.00 ",05/04/2018,east
" $1,749.00 ",05/04/2018,west
" $1,701.00 ",06/04/2018,north
" $1,752.00 ",06/04/2018,south
" $1,632.00 ",06/04/2018,east
" $1,515.00 ",06/04/2018,west
" $1,725.00 ",07/04/2018,north
" $1,611.00 ",07/04/2018,south
" $1,788.00 ",07/04/2018,east
" $1,617.00 ",07/04/2018,west
" $1,656.00 ",08/04/2018,north
" $1,674.00 ",08/04/2018,south
" $1,557.00 ",08/04/2018,east
" $1,701.00 ",08/04/2018,west
" $1,686.00 ",09/04/2018,north
" $1,782.00 ",09/04/2018,south
" $1,641.00 ",09/04/2018,east
" $1,557.00 ",09/04/2018,west
" $1,686.00 ",10/04/2018,north
" $1,527.00 ",10/04/2018,south
" $1,698.00 ",10/04/2018,east
" $1,728.00 ",10/04/2018,west
" $1,671.00 ",11/04/2018,north
" $1,527.00 ",11/04/2018,south
" $1,581.00 ",11/04/2018,east
" $1,764.00 ",11/04/2018,west
" $1,653.00 ",12/04/2018,north
" $1,626.00 ",12/04/2018,south
" $1,782.00 ",12/04/2018,east
" $1,749.00 ",12/04/2018,west
" $1,539.00 ",13/04/2018,north
" $1,752.00 ",13/04/2018,south
" $1,674.00 ",13/04/2018,east
" $1,749.00 ",13/04/2018,west
" $1,569.00 ",14/04/2018,north
" $1,794.00 ",14/04/2018,south
" $1,674.00 ",14/04/2018,east
" $1,638.00 ",14/04/2018,west
" $1,515.00 ",15/04/2018,north
" $1,527.00 ",15/04/2018,south
" $1,602.00 ",15/04/2018,east
" $1,653.00 ",15/04/2018,west
" $1,602.00 ",16/04/2018,north
" $1,707.00 ",16/04/2018,south
" $1,548.00 ",16/04/2018,east
" $1,527.00 ",16/04/2018,west
" $1,599.00 ",17/04/2018,north
" $1,728.00 ",17/04/2018,south
" $1,704.00 ",17/04/2018,east
" $1,539.00 ",17/04/2018,west
" $1,545.00 ",18/04/2018,north
" $1,797.00 ",18/04/2018,south
" $1,515.00 ",18/04/2018,east
" $1,719.00 ",18/04/2018,west
" $1,713.00 ",19/04/2018,north
" $1,674.00 ",19/04/2018,south
" $1,767.00 ",19/04/2018,east
" $1,767.00 ",19/04/2018,west
" $1,668.00 ",20/04/2018,north
" $1,620.00 ",20/04/2018,south
" $1,677.00 ",20/04/2018,east
" $1,509.00 ",20/04/2018,west
" $1,683.00 ",21/04/2018,north
" $1,743.00 ",21/04/2018,south
" $1,644.00 ",21/04/2018,east
" $1,578.00 ",21/04/2018,west
" $1,572.00 ",22/04/2018,north
" $1,545.00 ",22/04/2018,south
" $1,557.00 ",22/04/2018,east
" $1,626.00 ",22/04/2018,west
" $1,710.00 ",23/04/2018,north
" $1,659.00 ",23/04/2018,south
" $1,665.00 ",23/04/2018,east
" $1,521.00 ",23/04/2018,west
" $1,503.00 ",24/04/2018,north
" $1,650.00 ",24/04/2018,south
" $1,689.00 ",24/04/2018,east
" $1,743.00 ",24/04/2018,west
" $1,623.00 ",25/04/2018,north
" $1,503.00 ",25/04/2018,south
" $1,758.00 ",25/04/2018,east
" $1,557.00 ",25/04/2018,west
" $1,713.00 ",26/04/2018,north
" $1,734.00 ",26/04/2018,south
" $1,740.00 ",26/04/2018,east
" $1,563.00 ",26/04/2018,west
" $1,716.00 ",27/04/2018,north
" $1,791.00 ",27/04/2018,south
" $1,674.00 ",27/04/2018,east
" $1,716.00 ",27/04/2018,west
" $1,632.00 ",28/04/2018,north
" $1,641.00 ",28/04/2018,south
" $1,584.00 ",28/04/2018,east
" $1,590.00 ",28/04/2018,west
" $1,713.00 ",29/04/2018,north
" $1,593.00 ",29/04/2018,south
" $1,740.00 ",29/04/2018,east
" $1,638.00 ",29/04/2018,west
" $1,653.00 ",30/04/2018,north
" $1,590.00 ",30/04/2018,south
" $1,593.00 ",30/04/2018,east
" $1,602.00 ",30/04/2018,west
" $1,785.00 ",01/05/2018,north
" $1,764.00 ",01/05/2018,south
" $1,506.00 ",01/05/2018,east
" $1,536.00 ",01/05/2018,west
" $1,623.00 ",02/05/2018,north
" $1,674.00 ",02/05/2018,south
" $1,791.00 ",02/05/2018,east
" $1,653.00 ",02/05/2018,west
" $1,785.00 ",03/05/2018,north
" $1,569.00 ",03/05/2018,south
" $1,500.00 ",03/05/2018,east
" $1,770.00 ",03/05/2018,west
" $1,653.00 ",04/05/2018,north
" $1,590.00 ",04/05/2018,south
" $1,671.00 ",04/05/2018,east
" $1,629.00 ",04/05/2018,west
" $1,578.00 ",05/05/2018,north
" $1,665.00 ",05/05/2018,south
" $1,575.00 ",05/05/2018,east
" $1,587.00 ",05/05/2018,west
" $1,674.00 ",06/05/2018,north
" $1,785.00 ",06/05/2018,south
" $1,719.00 ",06/05/2018,east
" $1,617.00 ",06/05/2018,west
" $1,794.00 ",07/05/2018,north
" $1,563.00 ",07/05/2018,south
" $1,728.00 ",07/05/2018,east
" $1,740.00 ",07/05/2018,west
" $1,617.00 ",08/05/2018,north
" $1,650.00 ",08/05/2018,south
" $1,728.00 ",08/05/2018,east
" $1,635.00 ",08/05/2018,west
" $1,584.00 ",09/05/2018,north
" $1,647.00 ",09/05/2018,south
" $1,551.00 ",09/05/2018,east
" $1,512.00 ",09/05/2018,west
" $1,737.00 ",10/05/2018,north
" $1,551.00 ",10/05/2018,south
" $1,515.00 ",10/05/2018,east
" $1,716.00 ",10/05/2018,west
" $1,746.00 ",11/05/2018,north
" $1,677.00 ",11/05/2018,south
" $1,584.00 ",11/05/2018,east
" $1,617.00 ",11/05/2018,west
" $1,743.00 ",12/05/2018,north
" $1,533.00 ",12/05/2018,south
" $1,521.00 ",12/05/2018,east
" $1,578.00 ",12/05/2018,west
" $1,545.00 ",13/05/2018,north
" $1,713.00 ",13/05/2018,south
" $1,665.00 ",13/05/2018,east
" $1,644.00 ",13/05/2018,west
" $1,776.00 ",14/05/2018,north
" $1,560.00 ",14/05/2018,south
" $1,644.00 ",14/05/2018,east
" $1,503.00 ",14/05/2018,west
" $1,800.00 ",15/05/2018,north
" $1,758.00 ",15/05/2018,south
" $1,701.00 ",15/05/2018,east
" $1,671.00 ",15/05/2018,west
" $1,593.00 ",16/05/2018,north
" $1,617.00 ",16/05/2018,south
" $1,626.00 ",16/05/2018,east
" $1,629.00 ",16/05/2018,west
" $1,728.00 ",17/05/2018,north
" $1,506.00 ",17/05/2018,south
" $1,590.00 ",17/05/2018,east
" $1,626.00 ",17/05/2018,west
" $1,782.00 ",18/05/2018,north
" $1,572.00 ",18/05/2018,south
" $1,539.00 ",18/05/2018,east
" $1,509.00 ",18/05/2018,west
" $1,788.00 ",19/05/2018,north
" $1,713.00 ",19/05/2018,south
" $1,626.00 ",19/05/2018,east
" $1,629.00 ",19/05/2018,west
" $1,548.00 ",20/05/2018,north
" $1,716.00 ",20/05/2018,south
" $1,752.00 ",20/05/2018,east
" $1,638.00 ",20/05/2018,west
" $1,575.00 ",21/05/2018,north
" $1,671.00 ",21/05/2018,south
" $1,626.00 ",21/05/2018,east
" $1,572.00 ",21/05/2018,west
" $1,572.00 ",22/05/2018,north
" $1,569.00 ",22/05/2018,south
" $1,581.00 ",22/05/2018,east
" $1,521.00 ",22/05/2018,west
" $1,641.00 ",23/05/2018,north
" $1,692.00 ",23/05/2018,south
" $1,713.00 ",23/05/2018,east
" $1,563.00 ",23/05/2018,west
" $1,524.00 ",24/05/2018,north
" $1,533.00 ",24/05/2018,south
" $1,695.00 ",24/05/2018,east
" $1,533.00 ",24/05/2018,west
" $1,599.00 ",25/05/2018,north
" $1,665.00 ",25/05/2018,south
" $1,713.00 ",25/05/2018,east
" $1,644.00 ",25/05/2018,west
" $1,776.00 ",26/05/2018,north
" $1,530.00 ",26/05/2018,south
" $1,650.00 ",26/05/2018,east
" $1,512.00 ",26/05/2018,west
" $1,629.00 ",27/05/2018,north
" $1,707.00 ",27/05/2018,south
" $1,521.00 ",27/05/2018,east
" $1,761.00 ",27/05/2018,west
" $1,755.00 ",28/05/2018,north
" $1,659.00 ",28/05/2018,south
" $1,800.00 ",28/05/2018,east
" $1,539.00 ",28/05/2018,west
" $1,713.00 ",29/05/2018,north
" $1,752.00 ",29/05/2018,south
" $1,629.00 ",29/05/2018,east
" $1,635.00 ",29/05/2018,west
" $1,674.00 ",30/05/2018,north
" $1,701.00 ",30/05/2018,south
" $1,614.00 ",30/05/2018,east
" $1,794.00 ",30/05/2018,west
" $1,725.00 ",31/05/2018,north
" $1,659.00 ",31/05/2018,south
" $1,536.00 ",31/05/2018,east
" $1,620.00 ",31/05/2018,west
" $1,794.00 ",01/06/2018,north
" $1,623.00 ",01/06/2018,south
" $1,665.00 ",01/06/2018,east
" $1,671.00 ",01/06/2018,west
" $1,752.00 ",02/06/2018,north
" $1,707.00 ",02/06/2018,south
" $1,797.00 ",02/06/2018,east
" $1,668.00 ",02/06/2018,west
" $1,596.00 ",03/06/2018,north
" $1,503.00 ",03/06/2018,south
" $1,578.00 ",03/06/2018,east
" $1,680.00 ",03/06/2018,west
" $1,608.00 ",04/06/2018,north
" $1,683.00 ",04/06/2018,south
" $1,572.00 ",04/06/2018,east
" $1,656.00 ",04/06/2018,west
" $1,713.00 ",05/06/2018,north
" $1,698.00 ",05/06/2018,south
" $1,557.00 ",05/06/2018,east
" $1,782.00 ",05/06/2018,west
" $1,695.00 ",06/06/2018,north
" $1,680.00 ",06/06/2018,south
" $1,761.00 ",06/06/2018,east
" $1,659.00 ",06/06/2018,west
" $1,518.00 ",07/06/2018,north
" $1,572.00 ",07/06/2018,south
" $1,785.00 ",07/06/2018,east
" $1,557.00 ",07/06/2018,west
" $1,719.00 ",08/06/2018,north
" $1,677.00 ",08/06/2018,south
" $1,695.00 ",08/06/2018,east
" $1,602.00 ",08/06/2018,west
" $1,782.00 ",09/06/2018,north
" $1,773.00 ",09/06/2018,south
" $1,656.00 ",09/06/2018,east
" $1,665.00 ",09/06/2018,west
" $1,578.00 ",10/06/2018,north
" $1,641.00 ",10/06/2018,south
" $1,737.00 ",10/06/2018,east
" $1,557.00 ",10/06/2018,west
" $1,788.00 ",11/06/2018,north
" $1,677.00 ",11/06/2018,south
" $1,698.00 ",11/06/2018,east
" $1,728.00 ",11/06/2018,west
" $1,776.00 ",12/06/2018,north
" $1,551.00 ",12/06/2018,south
" $1,548.00 ",12/06/2018,east
" $1,542.00 ",12/06/2018,west
" $1,683.00 ",13/06/2018,north
" $1,683.00 ",13/06/2018,south
" $1,572.00 ",13/06/2018,east
" $1,683.00 ",13/06/2018,west
" $1,761.00 ",14/06/2018,north
" $1,668.00 ",14/06/2018,south
" $1,599.00 ",14/06/2018,east
" $1,593.00 ",14/06/2018,west
" $1,623.00 ",15/06/2018,north
" $1,737.00 ",15/06/2018,south
" $1,593.00 ",15/06/2018,east
" $1,788.00 ",15/06/2018,west
" $1,659.00 ",16/06/2018,north
" $1,641.00 ",16/06/2018,south
" $1,575.00 ",16/06/2018,east
" $1,611.00 ",16/06/2018,west
" $1,599.00 ",17/06/2018,north
" $1,530.00 ",17/06/2018,south
" $1,608.00 ",17/06/2018,east
" $1,626.00 ",17/06/2018,west
" $1,530.00 ",18/06/2018,north
" $1,707.00 ",18/06/2018,south
" $1,611.00 ",18/06/2018,east
" $1,635.00 ",18/06/2018,west
" $1,593.00 ",19/06/2018,north
" $1,749.00 ",19/06/2018,south
" $1,623.00 ",19/06/2018,east
" $1,608.00 ",19/06/2018,west
" $1,665.00 ",20/06/2018,north
" $1,659.00 ",20/06/2018,south
" $1,734.00 ",20/06/2018,east
" $1,557.00 ",20/06/2018,west
" $1,797.00 ",21/06/2018,north
" $1,587.00 ",21/06/2018,south
" $1,557.00 ",21/06/2018,east
" $1,542.00 ",21/06/2018,west
" $1,743.00 ",22/06/2018,north
" $1,797.00 ",22/06/2018,south
" $1,686.00 ",22/06/2018,east
" $1,683.00 ",22/06/2018,west
" $1,791.00 ",23/06/2018,north
" $1,554.00 ",23/06/2018,south
" $1,695.00 ",23/06/2018,east
" $1,566.00 ",23/06/2018,west
" $1,563.00 ",24/06/2018,north
" $1,623.00 ",24/06/2018,south
" $1,530.00 ",24/06/2018,east
" $1,662.00 ",24/06/2018,west
" $1,650.00 ",25/06/2018,north
" $1,602.00 ",25/06/2018,south
" $1,548.00 ",25/06/2018,east
" $1,623.00 ",25/06/2018,west
" $1,728.00 ",26/06/2018,north
" $1,533.00 ",26/06/2018,south
" $1,503.00 ",26/06/2018,east
" $1,629.00 ",26/06/2018,west
" $1,581.00 ",27/06/2018,north
" $1,659.00 ",27/06/2018,south
" $1,707.00 ",27/06/2018,east
" $1,665.00 ",27/06/2018,west
" $1,563.00 ",28/06/2018,north
" $1,638.00 ",28/06/2018,south
" $1,692.00 ",28/06/2018,east
" $1,503.00 ",28/06/2018,west
" $1,686.00 ",29/06/2018,north
" $1,764.00 ",29/06/2018,south
" $1,629.00 ",29/06/2018,east
" $1,779.00 ",29/06/2018,west
" $1,554.00 ",30/06/2018,north
" $1,653.00 ",30/06/2018,south
" $1,515.00 ",30/06/2018,east
" $1,557.00 ",30/06/2018,west
" $1,746.00 ",01/07/2018,north
" $1,671.00 ",01/07/2018,south
" $1,716.00 ",01/07/2018,east
" $1,554.00 ",01/07/2018,west
" $1,695.00 ",02/07/2018,north
" $1,611.00 ",02/07/2018,south
" $1,680.00 ",02/07/2018,east
" $1,671.00 ",02/07/2018,west
" $1,644.00 ",03/07/2018,north
" $1,638.00 ",03/07/2018,south
" $1,623.00 ",03/07/2018,east
" $1,515.00 ",03/07/2018,west
" $1,743.00 ",04/07/2018,north
" $1,587.00 ",04/07/2018,south
" $1,764.00 ",04/07/2018,east
" $1,572.00 ",04/07/2018,west
" $1,752.00 ",05/07/2018,north
" $1,647.00 ",05/07/2018,south
" $1,575.00 ",05/07/2018,east
" $1,500.00 ",05/07/2018,west
" $1,743.00 ",06/07/2018,north
" $1,566.00 ",06/07/2018,south
" $1,758.00 ",06/07/2018,east
" $1,689.00 ",06/07/2018,west
" $1,776.00 ",07/07/2018,north
" $1,770.00 ",07/07/2018,south
" $1,695.00 ",07/07/2018,east
" $1,566.00 ",07/07/2018,west
" $1,623.00 ",08/07/2018,north
" $1,776.00 ",08/07/2018,south
" $1,515.00 ",08/07/2018,east
" $1,761.00 ",08/07/2018,west
" $1,623.00 ",09/07/2018,north
" $1,788.00 ",09/07/2018,south
" $1,542.00 ",09/07/2018,east
" $1,515.00 ",09/07/2018,west
" $1,794.00 ",10/07/2018,north
" $1,794.00 ",10/07/2018,south
" $1,755.00 ",10/07/2018,east
" $1,761.00 ",10/07/2018,west
" $1,605.00 ",11/07/2018,north
" $1,569.00 ",11/07/2018,south
" $1,638.00 ",11/07/2018,east
" $1,677.00 ",11/07/2018,west
" $1,593.00 ",12/07/2018,north
" $1,500.00 ",12/07/2018,south
" $1,539.00 ",12/07/2018,east
" $1,719.00 ",12/07/2018,west
" $1,749.00 ",13/07/2018,north
" $1,596.00 ",13/07/2018,south
" $1,680.00 ",13/07/2018,east
" $1,509.00 ",13/07/2018,west
" $1,500.00 ",14/07/2018,north
" $1,653.00 ",14/07/2018,south
" $1,620.00 ",14/07/2018,east
" $1,575.00 ",14/07/2018,west
" $1,737.00 ",15/07/2018,north
" $1,713.00 ",15/07/2018,south
" $1,698.00 ",15/07/2018,east
" $1,539.00 ",15/07/2018,west
" $1,773.00 ",16/07/2018,north
" $1,707.00 ",16/07/2018,south
" $1,554.00 ",16/07/2018,east
" $1,515.00 ",16/07/2018,west
" $1,551.00 ",17/07/2018,north
" $1,566.00 ",17/07/2018,south
" $1,788.00 ",17/07/2018,east
" $1,614.00 ",17/07/2018,west
" $1,704.00 ",18/07/2018,north
" $1,656.00 ",18/07/2018,south
" $1,530.00 ",18/07/2018,east
" $1,659.00 ",18/07/2018,west
" $1,620.00 ",19/07/2018,north
" $1,725.00 ",19/07/2018,south
" $1,704.00 ",19/07/2018,east
" $1,527.00 ",19/07/2018,west
" $1,731.00 ",20/07/2018,north
" $1,761.00 ",20/07/2018,south
" $1,644.00 ",20/07/2018,east
" $1,653.00 ",20/07/2018,west
" $1,725.00 ",21/07/2018,north
" $1,698.00 ",21/07/2018,south
" $1,662.00 ",21/07/2018,east
" $1,656.00 ",21/07/2018,west
" $1,608.00 ",22/07/2018,north
" $1,773.00 ",22/07/2018,south
" $1,659.00 ",22/07/2018,east
" $1,647.00 ",22/07/2018,west
" $1,638.00 ",23/07/2018,north
" $1,623.00 ",23/07/2018,south
" $1,719.00 ",23/07/2018,east
" $1,629.00 ",23/07/2018,west
" $1,701.00 ",24/07/2018,north
" $1,725.00 ",24/07/2018,south
" $1,752.00 ",24/07/2018,east
" $1,557.00 ",24/07/2018,west
" $1,500.00 ",25/07/2018,north
" $1,707.00 ",25/07/2018,south
" $1,533.00 ",25/07/2018,east
" $1,737.00 ",25/07/2018,west
" $1,605.00 ",26/07/2018,north
" $1,767.00 ",26/07/2018,south
" $1,551.00 ",26/07/2018,east
" $1,521.00 ",26/07/2018,west
" $1,659.00 ",27/07/2018,north
" $1,611.00 ",27/07/2018,south
" $1,695.00 ",27/07/2018,east
" $1,632.00 ",27/07/2018,west
" $1,515.00 ",28/07/2018,north
" $1,584.00 ",28/07/2018,south
" $1,596.00 ",28/07/2018,east
" $1,743.00 ",28/07/2018,west
" $1,791.00 ",29/07/2018,north
" $1,599.00 ",29/07/2018,south
" $1,749.00 ",29/07/2018,east
" $1,755.00 ",29/07/2018,west
" $1,755.00 ",30/07/2018,north
" $1,662.00 ",30/07/2018,south
" $1,509.00 ",30/07/2018,east
" $1,776.00 ",30/07/2018,west
" $1,695.00 ",31/07/2018,north
" $1,707.00 ",31/07/2018,south
" $1,548.00 ",31/07/2018,east
" $1,578.00 ",31/07/2018,west
" $1,563.00 ",01/08/2018,north
" $1,674.00 ",01/08/2018,south
" $1,554.00 ",01/08/2018,east
" $1,665.00 ",01/08/2018,west
" $1,527.00 ",02/08/2018,north
" $1,617.00 ",02/08/2018,south
" $1,548.00 ",02/08/2018,east
" $1,671.00 ",02/08/2018,west
" $1,668.00 ",03/08/2018,north
" $1,671.00 ",03/08/2018,south
" $1,719.00 ",03/08/2018,east
" $1,668.00 ",03/08/2018,west
" $1,536.00 ",04/08/2018,north
" $1,734.00 ",04/08/2018,south
" $1,743.00 ",04/08/2018,east
" $1,776.00 ",04/08/2018,west
" $1,650.00 ",05/08/2018,north
" $1,599.00 ",05/08/2018,south
" $1,614.00 ",05/08/2018,east
" $1,773.00 ",05/08/2018,west
" $1,611.00 ",06/08/2018,north
" $1,605.00 ",06/08/2018,south
" $1,554.00 ",06/08/2018,east
" $1,788.00 ",06/08/2018,west
" $1,566.00 ",07/08/2018,north
" $1,560.00 ",07/08/2018,south
" $1,551.00 ",07/08/2018,east
" $1,626.00 ",07/08/2018,west
" $1,665.00 ",08/08/2018,north
" $1,539.00 ",08/08/2018,south
" $1,506.00 ",08/08/2018,east
